1505877272,69.87,68.90,85.96,101011.00
1505877332,69.85,68.90,85.95,101012.00
1505877392,69.91,68.90,85.71,101009.00
1505877452,69.89,68.90,85.77,101009.00
1505877513,69.89,68.90,85.74,101002.00
1505877573,69.91,68.90,85.76,101009.00
1505877633,69.89,68.90,85.81,101004.00
1505877694,69.87,68.90,85.84,100999.00
1505877754,69.87,68.90,85.93,100990.00
1505877814,69.85,68.90,85.88,100996.00
1505877874,69.87,68.90,85.77,100995.00
1505877935,69.89,68.90,85.89,100993.00
1505877995,69.87,68.90,85.87,100993.00
1505878055,69.85,68.90,85.84,100996.00
1505878116,69.87,68.90,85.99,100985.00
1505878176,69.85,68.90,85.79,100993.00
1505878236,69.83,68.90,85.89,100993.00
1505878296,69.87,68.90,85.96,100999.00
1505878357,69.87,68.90,85.88,100999.00
1505878417,69.85,68.90,85.80,100992.00
1505878477,69.87,68.90,85.93,100998.00
1505878538,69.87,68.90,85.88,100990.00
1505878598,69.89,68.90,85.74,101006.00
1505878658,69.85,68.90,85.89,100999.00
1505878718,69.89,68.90,85.87,100996.00
1505878779,69.87,68.90,85.98,101011.00
1505878839,69.89,68.90,85.86,100996.00
1505878899,69.87,68.90,85.84,100995.00
1505878960,69.85,68.90,85.82,100998.00
1505879020,69.87,68.90,85.87,100998.00
1505879080,69.87,68.90,85.83,100990.00
1505879140,69.87,68.90,85.91,100983.00
1505879201,69.85,68.90,85.77,100981.00
1505879261,69.85,68.90,86.01,100980.00
1505879321,69.83,68.90,86.07,100973.00
1505879382,69.83,68.90,86.06,100968.00
1505879442,69.83,68.90,86.10,100964.00
1505879502,69.83,68.90,86.00,100961.00
1505879562,69.85,68.90,86.04,100965.00
1505879623,69.85,68.90,86.02,100965.00
1505879683,69.83,68.90,85.96,100961.00
1505879743,69.85,68.90,85.87,100967.00
1505879804,69.85,68.90,86.11,100948.00
1505879864,69.85,68.90,86.00,100943.00
1505879924,69.85,68.90,85.89,100945.00
1505879984,69.85,68.90,85.86,100946.00
1505880045,69.83,68.90,85.78,100949.00
1505880105,69.85,68.90,85.85,100943.00
1505880165,69.85,68.90,86.02,100954.00
1505880226,69.83,68.90,86.02,100945.00
1505880286,69.85,68.90,85.96,100945.00
1505880346,69.83,68.90,86.10,100939.00
1505880406,69.81,68.90,85.90,100946.00
1505880467,69.83,68.90,86.00,100942.00
1505880527,69.81,68.90,85.93,100949.00
1505880587,69.83,68.90,85.92,100946.00
1505880648,69.81,68.90,86.04,100933.00
1505880708,69.81,68.90,86.03,100949.00
1505880768,69.79,68.90,86.08,100941.00
1505880828,69.79,68.90,85.85,100936.00
1505880889,69.81,68.90,85.93,100938.00
1505880949,69.83,68.90,85.91,100942.00
